 ,Auditor,Close Date,ICO Size ($mn),Cumulative ICO Funding ($mn),coinmarketcap URL,Symbol,Current market capitalization (fully diluted) in USD,Trading volume (24hrs),website link (URL),whitepaper link (URL),Date,NOTES,Other links,DeadCoin Listing,Coinopsy Failure Reason,Value Creation % (less than 100% is value destruction),Volume as % of Raise,Volume as % of Market Cap,,Other research,ValueCreationNorm,Governance Transparency,Voting Eligibility,Decision/voting rights,Decision-making mechanism,Voting delegation,Specific governance roles,Internal on-chain audit,Execution quality KPI accountablity,Community co-creation of projects,Interface for centralized systems
Crowdwiz (WIZ),,1/31/2018, $ 7.23 ,#REF!,https://coinmarketcap.com/currencies/crowdwiz/,WIZ,"1,218,614",,https://crowdwiz.io/,https://crowdwiz.io/docs/whitepaper-en-1507561917.pdf,06/06/2021,,,,,16.84%,0.00%,0.00%,,,1,,,,,,,,,,
CrowdWiz (WIZ) Pre-Sale,,12/11/2017, $ 5.39 ,#REF!,https://coinmarketcap.com/currencies/crowdwiz/,WIZ,"1,218,614",,https://crowdwiz.io/,https://crowdwiz.io/docs/whitepaper-en-1507561917.pdf,06/06/2021,,,,,22.59%,0.00%,0.00%,,,1,,,,,,,,,,
CRYCASH,,1/31/2018, $ 7.76 ,#REF!,https://coinpaprika.com/coin/crc-crycash/,CRC,"236,445.43",0.068621,https://crycash.io/,https://crycash.io/WP.pdf,06/06/2021,,,,,3.05%,0.00%,0.00%,,,1,,,,,,,,,,
CryptalDash Exchange (CRD),,6/18/2018, $ 15.29 ,#REF!,https://coinmarketcap.com/currencies/cryptaldash/,CRD,"7,373,057.78",164.73,https://www.crdtoken.org/,https://www.crdtoken.org/whitepaper,04/06/2021,,,,,48.22%,0.00%,0.00%,,,1,,,,,,,,,,
Crypterium (CRPT),,1/6/2018, $ 51.66 ,#REF!,https://coinmarketcap.com/currencies/crpt/,CRPT,"19,998,081","58,737",https://crypterium.com/,https://crypterium.io/wp,06/06/2021,,,,,38.71%,0.11%,0.29%,,,1,,,,,,,,,,
Crypto 20 (C20),,11/30/2017, $ 34.93 ,#REF!,https://coinmarketcap.com/currencies/c20/,C20,"155,420,261","21,152",https://invictuscapital.com/en/crypto20,https://static.crypto20.com/pdf/c20-whitepaper.pdf,06/06/2021,,,,,444.89%,0.06%,0.01%,,,3,,,,,,,,,,
Crypto.tickets,,12/3/2017, $ 1.75 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CryptoAds,,7/14/2018,3.23,#REF!,https://coinmarketcap.com/currencies/cryptoads-marketplace/,CRAD,"3,567,650.07",11.14,https://cryptoads.exchange/,https://tokensale.cfc.io/WP_cfc_1EN.pdf,04/06/2021,,,,,110.45%,0.00%,0.00%,,,3,,,,,,,,,,
Cryptopay (CPAY),,10/30/2017, $ 18.03 ,#REF!,https://coinmarketcap.com/currencies/cryptopay/,CPAY,"6,011,340",no data,https://cryptopay.me/,https://ico.cryptopay.me/ico_cpay_wp.pdf,06/06/2021,,,,,33.35%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
CryptoPing,,6/25/2017, $ 0.39 ,#REF!,https://coinmarketcap.com/currencies/cryptoping/,PING,"2,044,483",,https://cryptoping.tech/,https://cryptoping.tech/cp_whitepaper_en.pdf,06/06/2021,,,,,524.23%,0.00%,0.00%,,,3,,,,,,,,,,
Cryptosolartech,,7/15/2018,68.98,#REF!,https://coinpaprika.com/coin/cst-cryptosolartech/,CST,"1,058,221.00",7.8,https://cryptosolartech.org/,,04/06/2021,,https://etherscan.io/token/0xbb49a51ee5a66ca3a8cbe529379ba44ba67e6771,,,1.53%,0.00%,0.00%,,,1,,,,,,,,,,
CrypViser,,7/4/2017, $ 3.93 ,#REF!,https://icomarks.com/ico/crypviser,CVCOIN,,"28,412.68",https://ico.crypviser.net/?utm_source=icomarks,https://ico.crypviser.net/docs/CrypViser_Whitepaper_v.1.2.pdf,06/06/2021,,,,,0.00%,0.72%,#DIV/0!,,,1,,,,,,,,,,
Crystal Clear,,10/8/2017, $ 3.50 ,#REF!,https://icomarks.com/ico/crystal-clear,,,1.47,http://crystal-clear.io/Whitepaper_english.pdf,http://crystal-clear.io/Whitepaper_english.pdf,06/06/2021,,,DEAD,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/crystal-clear/,,1,,,,,,,,,,
Cubaaz,,4/10/2018, $ 20.45 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Current (CRNC),,2/7/2018, $ 36.00 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CVProof (INK),,1/22/2018, $ 15.00 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
CyberMiles (CMT),,11/25/2017, $ 34.37 ,#REF!,https://coinmarketcap.com/currencies/cybermiles/,CMT,"15,003,955","1,574,923",https://www.cybermiles.io/,https://cm.5miles.com/file/project/Project%20white%20paper%20v.1.8_en-US.pdf,06/06/2021,,,,,43.65%,4.58%,10.50%,,,1,,,,,,,,,,
CyberTrust (CABS),,1/5/2018, $ 17.60 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Cypherium,,1/11/2018, $ 25.00 ,#REF!,upcoming,,,,,,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
DacPlay,,2/21/2015, $ 0.59 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
dadi,,1/29/2018, $ 29.00 ,#REF!,https://icomarks.com/ico/dadi,DADI,,4.33,https://dadi.cloud/?utm_source=icomarks,https://dadi.cloud/public/files/dadi.white-paper.pdf,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/edge/,,1,,,,,,,,,,
Dank Signals,,6/15/2018, $ 3.43 ,#REF!,,,,,,,04/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
DAOstack,,5/8/2018, $ 30.00 ,#REF!,https://coinmarketcap.com/currencies/daostack/,GEN,"4,123,147","79,780",https://daostack.io/,https://daostack.io/wp/DAOstack-White-Paper-en.pdf,05/06/2021,,,,,13.74%,0.27%,1.93%,,,1,,,,,,,,,,
Darcrus,,12/28/2016, $ 0.30 ,#REF!,,,,,,,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
DATA (DTA),,1/21/2018, $ 38.00 ,#REF!,https://coinmarketcap.com/currencies/data/,DTA,"8,199,830","581,937",http://data.eco/,https://docsend.com/view/pk5w8wx,06/06/2021,,,,,21.58%,1.53%,7.10%,,,1,,,,,,,,,,
Datarius,,4/5/2018, $ 1.61 ,#REF!,https://icoholder.com/en/datarius-cryptobank-ico-17118,DTRC,"107,684.80",59.2,https://icoholder.com/en/v2/ico/ico-redirect/17118?to=http%3A//datarius.io%3Futm_source%3Dicoholder,,06/06/2021,,,,,6.68%,0.00%,0.05%,,,1,,,,,,,,,,
DataWallet (DXT),,2/6/2018, $ 40.00 ,#REF!,https://coinmarketcap.com/currencies/datawallet/,DXT,"434,524.97","3,231.78",https://datawallet.com/,https://assets.datawallet.io/tokensale/datawallet_whitepaper.pdf,06/06/2021,,,,,1.09%,0.01%,0.74%,,,1,,,,,,,,,,
Datum (DAT),,11/29/2017, $ 7.42 ,#REF!,https://coinmarketcap.com/currencies/datum/,DAT,"5,652,311","82,981",https://datum.org/,https://datum.org/assets/Datum-WhitePaper.pdf,06/06/2021,,,,,76.15%,1.12%,1.47%,,,2,,,,,,,,,,
DAV Network,,6/25/2018, $ 28.51 ,#REF!,https://www.coingecko.com/en/coins/dav-network,DAV,"2,025,595","1,018",https://dav.network/,https://dav.network/whitepaper.pdf,04/06/2021,,,,,7.10%,0.00%,0.05%,,,1,,,,,,,,,,
Dbrain,,6/1/2018, $ 2.50 ,#REF!,,,,,,,05/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
DCC,,5/29/2018, $ 26.20 ,#REF!,https://coinpaprika.com/coin/dcc-distributed-credit-chain/,DCC,"2,510,853.00",4 730.20,http://dcc.finance/,http://dcc.finance/file/DCCwhitepaper.pdf,05/06/2021,,,,,9.58%,#VALUE!,#VALUE!,https://coinmarketcap.com/currencies/dcashcoin/,This link for another sheet but it's not matching with coin name. ,1,,,,,,,,,,
DCORP,,6/29/2017, $ 5.05 ,#REF!,https://coinpaprika.com/coin/drp-dcorp/,DRP,"81,506.24",0.50014,https://www.dcorp.it/,https://github.com/frankbonnet/DCORP-Whitepaper/blob/master/whitepaper%20v0.3.2_EN-revised.pdf,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,1.61%,0.00%,0.00%,,,1,,,,,,,,,,
Debitum Network,,2/25/2018, $ 17.20 ,#REF!,https://coinmarketcap.com/currencies/debitum-network/,DEB,"987,402","31,619",https://debitum.network/,https://debitum.network/whitepaper,06/06/2021,,,,,5.74%,0.18%,3.20%,,,1,,,,,,,,,,
DeepBrain Chain,,12/15/2017, $ 11.76 ,#REF!,https://coinmarketcap.com/currencies/deepbrain-chain/,DBC,"120,441,392","1,175,255",https://dbc.team/,https://deepbrainchain.org/assets/pdf/DeepBrainChainWhitepaper_en.pdf,06/06/2021,,,,,1024.58%,10.00%,0.98%,,,4,,,,,,,,,,
DEEX (DEEX),,2/28/2018, $ 9.90 ,#REF!,https://coinmarketcap.com/currencies/deex/,DEEX,"1,531,266",,https://www.deex.exchange/,,06/06/2021,,,,,15.47%,0.00%,0.00%,,,1,,,,,,,,,,
Denaro (DNO),,3/15/2018, $ 8.60 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Dentacoin,,11/1/2017, $ 1.92 ,#REF!,https://coinmarketcap.com/currencies/dentacoin/,DCN,"328,281,801","234,379",http://www.dentacoin.com/,https://dentacoin.com/assets/uploads/whitepaper.pdf,06/06/2021,,,,,17066.84%,12.18%,0.07%,,,4,,,,,,,,,,
DetectorToken,,9/20/2017, $ 0.29 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,Main reasons for dead coin listing Scam or Other Issues,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Dether,,2/9/2018, $ 13.44 ,#REF!,https://coinmarketcap.com/currencies/dether/,DTH,"1,231,818.88","44,413.66",https://dether.io/,https://dether.io/dether-whitepaper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,9.16%,0.33%,3.61%,,,1,,,,,,,,,,
Devery (EVE),,1/11/2018, $ 10.00 ,#REF!,https://coinmarketcap.com/currencies/devery/,EVE,"540,915","6,868",https://devery.io/,https://devery.io/whitepaper/Devery_Whitepaper_rev5.pdf,06/06/2021,,,,,5.41%,0.07%,1.27%,,,1,,,,,,,,,,
Devery Pre-sale,,12/17/2017, $ 1.33 ,#REF!,https://coinmarketcap.com/currencies/devery/,EVE,"544,183","6,645",https://devery.io/,https://devery.io/whitepaper/Devery_Whitepaper_rev5.pdf,06/06/2021,,,,,40.81%,0.50%,1.22%,,,1,,,,,,,,,,
Devnetwork (DEV),,3/30/2018, $ 8.10 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Dfinity,,2/13/2017, $ 3.75 ,#REF!,upcoming,,,,,,06/07/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Digital Credit,,7/2/2018,1.16,#REF!,,,,,,,04/06/2021,No information found,,,Main reasons for dead coin listing Abandoned or No Volume,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Digitex Futures Exchange (DGTX),,2/2/2018, $ 7.00 ,#REF!,https://coinmarketcap.com/currencies/digitex/,DGTX,"15,060,020.56","2,014,877.91",https://digitex.io/,https://digitex.io/docs/whitepaper.pdf,06/06/2021,,,,,215.14%,28.78%,13.38%,,,3,,,,,,,,,,
DigixGlobal,,3/29/2016, $ 5.50 ,#REF!,https://coinmarketcap.com/currencies/digix-gold-token/,DGX,"4,625,978","48,124",https://digix.global/dgx,https://digix.global/whitepaper.pdf,06/07/2021,,,,,84.11%,0.87%,1.04%,,,2,,,,,,,,,,
DimCoin,,8/27/2017, $ 4.70 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Disciplina,,7/19/2018,13.92,#REF!,https://coinmarketcap.com/currencies/disciplina/,DSCPL,"2,676,823.17",915.49,https://disciplina.io/,https://disciplina.io/WhitePaper_eng.pdf,03/06/2021,,,,,19.23%,0.01%,0.03%,,,1,,,,,,,,,,
district0x Network,,8/1/2017, $ 13.19 ,#REF!,https://coinmarketcap.com/currencies/district0x/,DNT,"177,285,632","4,335,205",https://district0x.io/,https://district0x.io/docs/district0x-whitepaper.pdf,06/06/2021,,,,,1344.09%,32.87%,2.45%,,,4,,,,,,,,,,
DMarket,,8/21/2017, $ 11.97 ,#REF!,https://coinmarketcap.com/currencies/dmarket/,DMT,"42,347,692","11,283",https://dmarket.com/,https://www.dmarket.io/assets/documents/DMarket_white_paper_EN.pdf,06/06/2021,,,,,353.78%,0.09%,0.03%,,,3,,,,,,,,,,
DMarket (DMT),,12/1/2017, $ 16.18 ,#REF!,https://coinmarketcap.com/currencies/dmarket/,DMT,"40,806,324","3,496",https://dmarket.com/,https://www.dmarket.io/assets/documents/DMarket_white_paper_EN.pdf,06/06/2021,,,,,252.13%,0.02%,0.01%,,,3,,,,,,,,,,
DML,,4/22/2018, $ 10.43 ,#REF!,https://coinmarketcap.com/currencies/decentralized-machine-learning/,DML,"166,037",0,https://decentralizedml.com/,https://decentralizedml.com/DML_whitepaper_31Dec_17.pdf,06/06/2021,,,,,1.59%,0.00%,0.00%,,,1,,,,,,,,,,
doc.ai (NRN),,10/12/2017, $ 13.75 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Docademic,,4/15/2018, $ 1.10 ,#REF!,https://coinmarketcap.com/currencies/doc-com/,MTC,"3,131,330","8,929",https://doc.com/,https://cdn.docademic.com/documents/Docademic+ICO+White+Paper.pdf,06/06/2021,,,,,284.67%,0.81%,0.29%,,,3,,,,,,,,,,
Dock.Io (DOCK),,2/21/2018, $ 20.00 ,#REF!,https://coinmarketcap.com/currencies/dock/,DOCK,"63,264,653","4,516,104",https://dock.io/,https://docs.dock.io/,06/06/2021,,,,,316.32%,22.58%,7.14%,,,3,,,,,,,,,,
DomRaider,,10/11/2017, $ 49.09 ,#REF!,https://coinmarketcap.com/currencies/domraider/,DRT,"4,063,507","1,160",https://token.domraider.com/,https://s3-eu-west-1.amazonaws.com/domraider/domraider/DomRaider+ICO+Whitepaper+EN.pdf,06/06/2021,,,,,8.28%,0.00%,0.03%,,,1,,,,,,,,,,
Dorado,,5/16/2018, $ 20.00 ,#REF!,https://coinmarketcap.com/currencies/dorado/,DOR,no data,no data,https://www.dorado.tech/,,05/06/2021,,,DEAD,Main reasons for dead coin listing Scam or Other Issues.,#VALUE!,#VALUE!,#VALUE!,,,#VALUE!,,,,,,,,,,
Dovu,,10/17/2017, $ 9.09 ,#REF!,https://coinmarketcap.com/currencies/dovu/,DOV,"18,642,164","2,328,072",https://www.dovu.earth/,https://www.dovu.earth/news/project-three-4ty6a-5apgt,06/06/2021,,,,,205.16%,25.62%,12.49%,,,3,,,,,,,,,,
Dragon,,3/15/2018, $ 320.00 ,#REF!,https://coinmarketcap.com/currencies/dragon-coins/,DRG,"1,680,652","1,068",https://drgtoken.io/,https://s3.amazonaws.com/drg-token/Whitepaper-Dragon.pdf,06/06/2021,,,DEAD,,0.53%,0.00%,0.06%,,,1,,,,,,,,,,
Dragonchain,,11/3/2017, $ 13.19 ,#REF!,https://coinmarketcap.com/currencies/dragonchain/,DRGN,"64,657,363","231,928",https://dragonchain.com/,https://dragonchain.com/assets/Dragonchain_Business_Summary.pdf,06/06/2021,,,,,490.09%,1.76%,0.36%,,,3,,,,,,,,,,
DRG Token,,12/31/2017, $ 3.93 ,#REF!,https://coinmarketcap.com/currencies/dragon-coins/,DRG,"1,656,039","1,062",https://drgtoken.io/,https://s3.amazonaws.com/drg-token/Whitepaper-Dragon.pdf,06/06/2021,,,,,42.14%,0.03%,0.06%,,,1,,,,,,,,,,
E4ROW,,5/22/2017, $ 0.86 ,#REF!,,,,,,,06/06/2021,Inactive,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Earth Token (ETN),,3/15/2018, $ 5.00 ,#REF!,https://coinpaprika.com/coin/earth-earth-token/,EARTH,"2,609,115.00",1.140251,https://earth-token.com/,https://earth-token.com/pdf/impactChoice-Earth-Token-Whitepaper.pdf,06/06/2021,,,,,52.18%,0.00%,0.00%,https://coinmarketcap.com/currencies/earth-token/,,1,,,,,,,,,,
EBCoin,,2/13/2018, $ 8.52 ,#REF!,https://coinmarketcap.com/currencies/ebcoin/,EBC,"1,853,829",,https://ebcoin.io/,https://www.ebcoin.io/docs/EBCoin_Whitepaper_EN.pdf,06/06/2021,,,,,21.77%,0.00%,0.00%,,,1,,,,,,,,,,
EcoBit,,6/8/2017, $ 3.49 ,#REF!,https://coinmarketcap.com/currencies/ecobit/,ECOB,,,http://www.ecobit.io/,https://www.ecobit.io/technology.html,06/06/2021,No information found,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
EdenChain,,5/25/2018, $ 1.90 ,#REF!,https://www.coingecko.com/en/coins/edenchain,EDN,,"253,089",http://edenchain.io/,https://edenchain.io/wp-content/uploads/2018/08/EdenChain-Whitepaper_v1.2.pdf,05/06/2021,,,,,0.00%,13.32%,#DIV/0!,,,1,,,,,,,,,,
Edgeless,,3/21/2017, $ 2.65 ,#REF!,https://coinmarketcap.com/currencies/edgeless/,EDG,"693,229",818,https://edgeless.io/,https://github.com/EdgelessCasino/White_paper/blob/master/White_Paper.pdf,06/07/2021,,,,,26.16%,0.03%,0.12%,,,1,,,,,,,,,,
Effect.Ai (EFX),,3/28/2018, $ 13.60 ,#REF!,https://coinmarketcap.com/currencies/effect-ai/,EFX,"24,866,114","113,266",http://effect.ai/,http://effect.ai/download/effect_whitepaper.pdf,06/06/2021,,,,,182.84%,0.83%,0.46%,,,3,,,,,,,,,,
Eidoo,,10/16/2017, $ 27.22 ,#REF!,https://icomarks.com/ico/eidoo,EDO,,"599,976.04",https://eidoo.io/?utm_source=icomarks,https://eidoo.io/docs/EIDOO_Technology_White_Paper_v_0_1_Draft.pdf,06/06/2021,,,,,0.00%,2.20%,#DIV/0!,,,1,,,,,,,,,,
EiraCube,,6/1/2018, $ 0.91 ,#REF!,,,,,,,05/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Elastic,,8/19/2016, $ 0.42 ,#REF!,,,,,,,06/07/2021,Few coing with same name,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Elastos (ELA),,1/23/2018, $ 70.00 ,#REF!,https://coinmarketcap.com/currencies/elastos/,ELA,"118,946,321","2,353,746",https://elastos.info/,https://developer.elastos.org/,06/06/2021,,,,,169.92%,3.36%,1.98%,,,3,,,,,,,,,,
Electrify.Asia (ELEC),,2/24/2018, $ 30.00 ,#REF!,https://coinmarketcap.com/currencies/electrifyasia/,ELEC,"1,194,330","29,188",https://electrify.asia/,https://electrify.asia/whitepaper/,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,3.98%,0.10%,2.44%,,,1,,,,,,,,,,
Electroneum (ETN),,10/31/2017, $ 40.95 ,#REF!,https://coinmarketcap.com/currencies/electroneum/,ETN,"192,372,026","268,194",http://electroneum.com/,,06/06/2021,,,,,469.72%,0.65%,0.14%,,,3,,,,,,,,,,
Eligma,,5/8/2018, $ 10.06 ,#REF!,https://etherscan.io/token/0xc7c03b8a3fc5719066e185ea616e87b88eba44a3,Token,"18,291,687.06",,https://www.eligma.io/,https://www.eligma.io/pdf/eligma-white-paper_v1.9.pdf,05/06/2021,,,,,181.83%,0.00%,0.00%,,,3,,,,,,,,,,
Embermine,,6/2/2017, $ 0.08 ,#REF!,,,,,,,06/06/2021,Inactive,,,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
EncryptoTel,,7/1/2017, $ 4.52 ,#REF!,https://coinpaprika.com/coin/ett-encryptotel-eth/,ETT,"181,548.11",1218.78,https://encryptotel.com/,,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,4.02%,0.03%,0.67%,,,1,,,,,,,,,,
Endor (EDR),,3/14/2018, $ 45.00 ,#REF!,https://coinmarketcap.com/currencies/endor-protocol/,EDR,"51,291,642","429,993",https://www.endor.com/,,06/06/2021,,,,,113.98%,0.96%,0.84%,,,3,,,,,,,,,,
Energi Token (ETK),,2/1/2018, $ 15.00 ,#REF!,https://coinmarketcap.com/currencies/energitoken/,ETK,"77,250.00",3.6,https://energitoken.com/,https://energitoken.com/whitepaper/WPEnglish.pdf,06/06/2021,,,,,0.52%,0.00%,0.00%,,,1,,,,,,,,,,
Engagement Token,,6/1/2018, $ 19.00 ,#REF!,https://coinpaprika.com/coin/engt-engagement-token/,ENGT,"18,279.50",10,https://engagementtoken.com/,https://engagementtoken.com/whitepaper/,05/06/2021,,https://etherscan.io/token/0x5dbac24e98e2a4f43adc0dc82af403fca063ce2c,,,0.10%,0.00%,0.05%,,,1,,,,,,,,,,
Enigma Catalyst,,9/12/2017, $ 45.00 ,#REF!,https://coinmarketcap.com/currencies/enigma/,ENG,"3,923,859","3,049,539",https://enigma.co/,https://enigma.co/discovery-documentation,06/06/2021,,,,,8.72%,6.78%,77.72%,,,1,,,,,,,,,,
Enjin,,11/1/2017, $ 22.93 ,#REF!,https://coinmarketcap.com/currencies/enjin-coin/,ENJ,"1,479,003,597","76,921,874",https://enjin.io/,https://docs.enjin.io/,06/06/2021,,,,,6450.05%,335.46%,5.20%,,,4,,,,,,,,,,
Envion,,1/14/2018, $ 100.00 ,#REF!,https://coinpaprika.com/coin/evn-envion/,EVN,"6,594,524.14",55.55,https://www.envion.org/,https://www.envion.org/en/download/envion_whitepaper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,6.59%,0.00%,0.00%,,,1,,,,,,,,,,
EOS,,6/1/2018," $ 4,200.00 ",#REF!,https://coinmarketcap.com/currencies/eos/,EOS,"6,023,251,387.93","1,489,460,785.76",https://eos.io/,https://github.com/EOSIO/Documentation/blob/master/TechnicalWhitePaper.md,05/06/2021,,,,,143.41%,35.46%,24.73%,,,3,,,,,,,,,,
Equibit,,3/31/2017, $ 1.14 ,#REF!,,,,,,,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Equitybase,,5/1/2018, $ 5.83 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Eros,,7/23/2017, $ 4.86 ,#REF!,https://coinmarketcap.com/currencies/erosion/,EROS,,,https://erosiontoken.surge.sh/,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Esports,,11/30/2017, $ 5.84 ,#REF!,https://coinpaprika.com/coin/est-esports-token/,EST,"776,047.40",104.43,https://esportschain.org/,https://esportschain.org/assets/pdf/Esports%20Chain%20White%20Paper.pdf,06/06/2021,,,,,13.29%,0.00%,0.01%,https://coinmarketcap.com/currencies/esportspro/,This link for another sheet but it's not matching with coin name. ,1,,,,,,,,,,
ESR Wallet Pre-Sale,,10/9/2017, $ 0.99 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
ETCWin,,11/23/2016, $ 1.31 ,#REF!,,,,,,,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Ethbits,,5/15/2017, $ 1.28 ,#REF!,https://coinmarketcap.com/currencies/ethbits/,ETBS,,,https://www.ethbits.com/,https://ico.ethbits.com/white_paper.pdf,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Etheera,,6/2/2018, $ 0.03 ,#REF!,https://coinpaprika.com/coin/eta-etheera/,ETA,"33,229.67",0.00000118,https://www.etheera.com/,https://www.etheera.com/icowhitepaper-eng,04/06/2021,,,DEAD,,110.77%,0.00%,0.00%,https://coinmarketcap.com/currencies/etheera/,,3,,,,,,,,,,
Ether.camp,,12/22/2016, $ 0.65 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Etherisc,,7/24/2018,3.79,#REF!,https://coinmarketcap.com/currencies/etherisc/,DIP,"182,418,072.05","294,698.88",https://etherisc.com/,https://etherisc.com/files/etherisc_whitepaper_1.01_en.pdf,03/06/2021,,,,,4813.14%,7.78%,0.16%,,,4,,,,,,,,,,
ETHernitymining,,7/31/2018,2.5,#REF!,,,,,,,03/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Etheroll,,2/26/2017, $ 0.29 ,#REF!,https://coinmarketcap.com/currencies/etheroll/,DICE,"9,493,661",432,https://etheroll.com/,https://crowdfund.etheroll.com/etheroll-whitepaper.pdf,06/07/2021,,,,,3273.68%,0.15%,0.00%,,,4,,,,,,,,,,
Etherparty (FUEL),,10/28/2017, $ 31.87 ,#REF!,https://coinmarketcap.com/currencies/etherparty/,FUEL,"911,899","67,883",https://etherparty.com/,https://etherparty.io/Etherparty_White_Paper_EN.pdf,06/06/2021,,,,,2.86%,0.21%,7.44%,,,1,,,,,,,,,,
EthLend (LEND),,11/30/2017, $ 16.74 ,#REF!,https://coinmarketcap.com/currencies/etha-lend/,ETHA,"10,776,937","910,877",https://ethalend.org/,https://drive.google.com/file/d/18a0wlWHqocv4LacNI_XfLDF0NiSK17x4/view,06/06/2021,,,,,64.37%,5.44%,8.45%,,,1,,,,,,,,,,
Eticket4,,4/6/2018, $ 1.00 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
European Crypto Bank,,7/15/2018,1.96,#REF!,,,,,,,03/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
EximChain,,2/13/2018, $ 20.00 ,#REF!,https://coinpaprika.com/coin/exc-eximchain/,EXC,,0.058533,https://eximchain.com/,http://eximchain.com.s3.amazonaws.com/Whitepaper%20-%20Eximchain.pdf,06/06/2021,,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Exolover,,7/29/2018,2.32,#REF!,,,,,,,03/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Experty (EXY),,1/26/2018, $ 9.50 ,#REF!,https://coinmarketcap.com/currencies/experty/,EXY,"7,591,323",195,https://experty.io/en,https://experty.io/docs/Experty-whitepaper-v2.6.pdf,06/06/2021,,,,,79.91%,0.00%,0.00%,,,2,,,,,,,,,,
Exscudo,,5/31/2017, $ 5.30 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
